"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2171","test_search_selenium","tests","2026-04-02","passed","2026-04-02","","test_taobao","",""
"","10764","test_baidu","tests","2026-04-02","passed","2026-04-02","","test_01","",""
"","4632","test_taobao","tests","2026-04-02","passed","2026-04-02","","test_01","",""
"测试在百度搜索 selenium","1568","test_search_selenium[python]","tests","2026-04-02","passed","2026-04-02","","test_baidu","",""
"打开百度首页","512","test_open_baidu","tests","2026-04-02","passed","2026-04-02","TestBaidu","test_02","",""
"","1442","test_search[test_data0]","tests","2026-04-02","passed","2026-04-02","","test_baidu02","",""
"检查搜索框是否存在","1600","test_check_search","tests","2026-04-02","passed","2026-04-02","TestTaobao","test_03","",""
"
测试页面刷新
","2510","test_refresh_page","tests","2026-04-02","passed","2026-04-02","TestTaobao","test_02","",""
"打开淘宝首页","1761","test_open_taobao","tests","2026-04-02","passed","2026-04-02","TestTaobao","test_03","",""
"","2063","test_input","tests","2026-04-02","passed","2026-04-02","TestTaobao","test_03","",""
"搜索 Selenium","6453","test_search_selenium","tests","2026-04-02","passed","2026-04-02","TestBaidu","test_02","",""
"
测试页面前进后退
","6849","test_page_navigation","tests","2026-04-02","passed","2026-04-02","TestBaidu","test_02","",""
"","1330","test_search[test_data1]","tests","2026-04-02","passed","2026-04-02","","test_baidu02","",""
"","1964","test_search[test_data2]","tests","2026-04-02","passed","2026-04-02","","test_baidu02","",""
"测试在百度搜索 selenium","1625","test_search_selenium[pytest]","tests","2026-04-02","passed","2026-04-02","","test_baidu","",""
"测试在百度搜索 selenium","1548","test_search_selenium[selenium]","tests","2026-04-02","passed","2026-04-02","","test_baidu","",""
